block_size_km,fold,feature,final_rf_importance,source_group,season_or_orbit,feature_family
15,5,S2_dry_B5,0.02773461939805477,Sentinel-2 optical,dry,spectral_band_or_percentile
15,5,S2_wet_B6,0.02769125352131491,Sentinel-2 optical,wet,spectral_band_or_percentile
15,5,S2_dry_PSRI,0.027074384655794054,Sentinel-2 optical,dry,spectral_index
20,1,S2_dry_CVI,0.06197063566964875,Sentinel-2 optical,dry,spectral_index
20,1,S2_dry_MNDWI,0.060825678808878784,Sentinel-2 optical,dry,spectral_index
20,1,S2_wet_NBR2,0.0553613698118655,Sentinel-2 optical,wet,spectral_index
20,1,S2_dry_B11,0.05085457121267888,Sentinel-2 optical,dry,spectral_band_or_percentile
20,1,L89_dry_NIR,0.04642666782356028,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,1,DEM_elevation,0.0459765816760862,DEM/topography,static_or_annual,topographic
20,1,S2_dry_GNDVI,0.04576075430996309,Sentinel-2 optical,dry,spectral_index
20,1,S2_dry_NBR2,0.045611369502212305,Sentinel-2 optical,dry,spectral_index
20,1,L89_dry_MSI,0.042675651911217624,Landsat 8/9 optical,dry,spectral_index
20,1,L89_dry_NDVI,0.042479638836749774,Landsat 8/9 optical,dry,spectral_index
20,1,L89_dry_BSI,0.042380204073960016,Landsat 8/9 optical,dry,spectral_index
20,1,S1_VVasc_p50,0.041964176463825414,Sentinel-1 SAR,ascending,sar_backscatter_metric
20,1,L89_dry_Green,0.039128689666203406,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,1,L89_dry_SWIR2_p75,0.03693135843660693,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,1,S2_wet_GNDVI,0.0366896083826238,Sentinel-2 optical,wet,spectral_index
20,1,L89_wet_NBR2,0.03474252812941589,Landsat 8/9 optical,wet,spectral_index
20,1,S2_dry_B2,0.033343280642392566,Sentinel-2 optical,dry,spectral_band_or_percentile
20,1,S2_wet_B6,0.03270482471565828,Sentinel-2 optical,wet,spectral_band_or_percentile
20,1,S2_wet_MSR,0.03174363674478113,Sentinel-2 optical,wet,spectral_index
20,1,S2_wet_NBR,0.031402583654198755,Sentinel-2 optical,wet,spectral_index
20,1,S2_wet_B12,0.03035278634269722,Sentinel-2 optical,wet,spectral_band_or_percentile
20,1,S2_dry_NDI,0.02906966744091278,Sentinel-2 optical,dry,spectral_index
20,1,S2_dry_PSRI,0.028165449551861767,Sentinel-2 optical,dry,spectral_index
20,1,S2_wet_B11,0.02736699911622666,Sentinel-2 optical,wet,spectral_band_or_percentile
20,1,S2_dry_NDMI,0.02607128707577432,Sentinel-2 optical,dry,spectral_index
20,2,S2_dry_CVI,0.0679770583080416,Sentinel-2 optical,dry,spectral_index
20,2,S2_dry_MNDWI,0.06218590751041724,Sentinel-2 optical,dry,spectral_index
20,2,DEM_elevation,0.059160995908767555,DEM/topography,static_or_annual,topographic
20,2,S2_dry_B11,0.05134020652524382,Sentinel-2 optical,dry,spectral_band_or_percentile
20,2,S2_wet_NBR2,0.05053975637887707,Sentinel-2 optical,wet,spectral_index
20,2,S2_dry_B2,0.05016886042758506,Sentinel-2 optical,dry,spectral_band_or_percentile
